City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Weather Description,Date
0,Rikitea,-23.1203,-134.9692,76.24,77,0,21.47,PF,light rain,2021-12-01 03:45:26
1,New Norfolk,-42.7826,147.0587,83.75,25,100,1.99,AU,overcast clouds,2021-12-01 03:45:27
2,Fare,-16.7,-151.0167,81.55,74,100,19.71,PF,light rain,2021-12-01 03:41:53
3,Ushuaia,-54.8,-68.3,55.06,44,40,17.27,AR,scattered clouds,2021-12-01 03:45:28
4,Vila Velha,-20.3297,-40.2925,75.15,93,90,8.01,BR,mist,2021-12-01 03:41:23
5,Anupgarh,29.1911,73.2086,71.02,24,99,3.24,IN,overcast clouds,2021-12-01 03:45:29
6,Arraial Do Cabo,-22.9661,-42.0278,73.45,91,98,6.82,BR,overcast clouds,2021-12-01 03:45:30
7,Hobart,-42.8794,147.3294,84.11,38,75,11.5,AU,thunderstorm,2021-12-01 03:45:30
8,Aklavik,68.2191,-135.0107,-22.97,99,60,4.27,CA,broken clouds,2021-12-01 03:45:31
9,Barrow,71.2906,-156.7887,-16.58,69,1,12.66,US,clear sky,2021-12-01 03:43:04
10,Ribeira Grande,38.5167,-28.7,62.73,78,42,8.34,PT,scattered clouds,2021-12-01 03:45:32
11,Shitanjing,39.2342,106.3439,32.05,24,1,8.19,CN,clear sky,2021-12-01 03:45:33
12,Dikson,73.5069,80.5464,-18.69,100,100,8.97,RU,overcast clouds,2021-12-01 03:41:49
13,Los Llanos De Aridane,28.6585,-17.9182,59.13,79,0,8.99,ES,clear sky,2021-12-01 03:45:34
14,Itoman,26.1247,127.6694,68.4,50,40,27.63,JP,scattered clouds,2021-12-01 03:45:35
15,Husavik,66.0449,-17.3389,24.71,87,97,6.38,IS,overcast clouds,2021-12-01 03:45:35
16,Puerto Ayora,-0.7393,-90.3518,68.29,92,36,7.02,EC,scattered clouds,2021-12-01 03:45:35
17,Butaritari,3.0707,172.7902,82.45,76,78,7.72,KI,broken clouds,2021-12-01 03:45:36
18,Saint-Philippe,-21.3585,55.7679,80.19,75,85,8.23,RE,overcast clouds,2021-12-01 03:45:36
19,Airai,-8.9266,125.4092,78.26,47,42,2.77,TL,scattered clouds,2021-12-01 03:45:36
20,Conde,-7.2597,-34.9075,78.26,83,0,4.61,BR,clear sky,2021-12-01 03:45:37
21,Clyde River,70.4692,-68.5914,3.43,85,100,12.66,CA,light snow,2021-12-01 03:45:37
22,Saint-Georges,12.0564,-61.7485,80.28,83,75,18.41,GD,thunderstorm,2021-12-01 03:45:38
23,Mount Isa,-20.7333,139.5,100.17,10,4,11.5,AU,clear sky,2021-12-01 03:45:38
24,Ulaangom,49.9811,92.0667,14.5,75,55,1.43,MN,broken clouds,2021-12-01 03:45:38
25,Albany,42.6001,-73.9662,34.81,85,87,3.18,US,overcast clouds,2021-12-01 03:45:39
26,Prince Rupert,54.3161,-130.3201,46.49,74,90,13.8,CA,light rain,2021-12-01 03:45:39
27,Alice Springs,-23.7,133.8833,96.35,11,0,3.44,AU,clear sky,2021-12-01 03:43:47
28,Vaini,-21.2,-175.2,82.56,83,20,11.5,TO,few clouds,2021-12-01 03:45:40
29,Hermanus,-34.4187,19.2345,58.89,85,19,7.52,ZA,few clouds,2021-12-01 03:45:40
30,Nago,26.5881,127.9761,68.45,64,94,22.19,JP,overcast clouds,2021-12-01 03:45:40
31,Moose Factory,51.2585,-80.6094,19.4,86,90,13.8,CA,light snow,2021-12-01 03:45:41
32,Cape Town,-33.9258,18.4232,61.21,77,0,5.75,ZA,clear sky,2021-12-01 03:45:41
33,Bluff,-46.6,168.3333,68.81,72,10,18.34,NZ,clear sky,2021-12-01 03:45:42
34,Busselton,-33.65,115.3333,69.49,44,77,13.51,AU,broken clouds,2021-12-01 03:45:42
35,Klaksvik,62.2266,-6.589,34.72,60,44,22.97,FO,scattered clouds,2021-12-01 03:45:43
36,Codrington,-38.2667,141.9667,67.66,67,7,13.33,AU,clear sky,2021-12-01 03:45:43
37,Port Alfred,-33.5906,26.891,66.42,79,98,10.09,ZA,overcast clouds,2021-12-01 03:45:44
38,Iqaluit,63.7506,-68.5145,11.93,85,90,4.61,CA,light snow,2021-12-01 03:45:44
39,Lerik,38.7726,48.4128,42.44,34,86,14.45,AZ,overcast clouds,2021-12-01 03:45:44
40,Riyadh,24.6877,46.7219,55.45,44,0,1.14,SA,clear sky,2021-12-01 03:45:45
41,Rokytne,51.2796,27.214,32.65,97,100,9.57,UA,light snow,2021-12-01 03:45:45
42,Atuona,-9.8,-139.0333,78.94,76,5,20.62,PF,clear sky,2021-12-01 03:41:56
43,Bredasdorp,-34.5322,20.0403,58.28,83,71,3.96,ZA,broken clouds,2021-12-01 03:45:46
44,Alice,27.7523,-98.0697,64.4,88,1,5.75,US,clear sky,2021-12-01 03:45:46
45,Tuktoyaktuk,69.4541,-133.0374,-31.0,75,20,3.44,CA,few clouds,2021-12-01 03:45:47
46,Saint-Pierre,-21.3393,55.4781,80.28,68,20,17.27,RE,few clouds,2021-12-01 03:45:19
47,Hilo,19.7297,-155.09,76.73,82,1,8.05,US,light rain,2021-12-01 03:42:39
48,Tari,12.4086,4.4914,71.46,18,2,9.82,NG,clear sky,2021-12-01 03:45:47
