City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Nikolskoye,RU,2021-11-23 17:12:25,59.7035,30.7861,32.88,83,33,5.41
1,Aranda De Duero,ES,2021-11-23 17:12:26,41.6704,-3.6892,37.18,98,100,3.65
2,Bollnas,SE,2021-11-23 17:12:26,61.3482,16.3946,36.39,68,100,10.89
3,Port Hardy,CA,2021-11-23 17:12:26,50.6996,-127.4199,41.65,85,87,5.59
4,Barrow,US,2021-11-23 17:12:27,71.2906,-156.7887,1.42,71,90,5.75
5,Pryazha,RU,2021-11-23 17:12:27,61.6926,33.6216,17.82,99,89,2.8
6,Upernavik,GL,2021-11-23 17:12:28,72.7868,-56.1549,0.39,71,16,6.89
7,Saskylakh,RU,2021-11-23 17:12:28,71.9167,114.0833,-26.45,97,11,10.54
8,Saint George,US,2021-11-23 17:12:28,37.1041,-113.5841,60.35,39,1,0.0
9,Hobart,AU,2021-11-23 17:08:16,-42.8794,147.3294,60.66,84,100,5.75
10,Bredasdorp,ZA,2021-11-23 17:12:29,-34.5322,20.0403,66.27,62,67,9.82
11,Padang,ID,2021-11-23 17:12:29,-0.9492,100.3543,77.95,80,100,4.45
12,Rikitea,PF,2021-11-23 17:12:30,-23.1203,-134.9692,76.01,81,2,14.07
13,Komsomolskiy,UZ,2021-11-23 17:12:30,40.4272,71.7189,45.52,33,79,1.63
14,Talcahuano,CL,2021-11-23 17:12:31,-36.7167,-73.1167,62.28,67,0,17.27
15,Victoria,HK,2021-11-23 17:08:18,22.2855,114.1577,64.38,60,51,1.01
16,Upata,VE,2021-11-23 17:12:31,8.0086,-62.3989,86.31,53,59,5.19
17,Chuy,UY,2021-11-23 17:12:32,-33.6971,-53.4616,68.22,43,0,12.88
18,Kapaa,US,2021-11-23 17:12:32,22.0752,-159.319,77.32,83,90,11.5
19,Hermanus,ZA,2021-11-23 17:12:32,-34.4187,19.2345,69.91,69,60,13.87
20,Albany,US,2021-11-23 17:11:08,42.6001,-73.9662,37.45,50,4,5.99
21,Saint-Philippe,RE,2021-11-23 17:12:33,-21.3585,55.7679,76.59,77,62,6.22
22,Kahului,US,2021-11-23 17:12:33,20.8947,-156.47,76.84,82,20,5.75
23,Yellowknife,CA,2021-11-23 17:12:34,62.456,-114.3525,-15.59,95,92,1.99
24,Pisco,PE,2021-11-23 17:12:35,-13.7,-76.2167,69.85,73,0,9.22
25,Ust-Nera,RU,2021-11-23 17:12:36,64.5667,143.2,-19.12,95,100,0.92
26,Longyan,CN,2021-11-23 17:08:28,25.1072,117.0225,46.9,88,33,3.31
27,Hithadhoo,MV,2021-11-23 17:12:36,-0.6,73.0833,82.27,75,100,17.4
28,Tazovskiy,RU,2021-11-23 17:12:37,67.4667,78.7,16.23,93,100,13.06
29,Port Elizabeth,ZA,2021-11-23 17:12:37,-33.918,25.5701,63.1,67,55,14.58
30,Ponta Do Sol,PT,2021-11-23 17:12:37,32.6667,-17.1,72.12,74,96,1.66
31,Pangnirtung,CA,2021-11-23 17:12:38,66.1451,-65.7125,24.33,66,100,28.19
